1615815549333,sensorDisconnected,number,0
1615815563059,sensorConnected,number,0
1615815566076,sensorDisconnected,number,0
1615815566162,sensorDisconnected,number,0
1615815580850,sensorDisconnected,number,0
1615815582226,sensorDisconnected,number,0
1615815596665,sensorDisconnected,number,0
1615815598286,sensorDisconnected,number,0
1615815612390,sensorDisconnected,number,0
1615815614351,sensorDisconnected,number,0
1615815617280,sensorDisconnected,number,0
1615815617281,sensorDisconnected,number,0
1615815617282,sensorDisconnected,number,0
